janela,upstream,contagem
antes,1103,11581
antes,1273,26463
antes,12741,123
antes,1299,111431
antes,13030,1968
antes,174,70692
antes,20485,191
antes,2119,1531
antes,24724,2945
antes,24961,11701
antes,25091,161
antes,30781,8719
antes,31025,8682
antes,31133,204
antes,3216,14
antes,3356,129616
antes,3491,12867
antes,37662,2658
antes,38001,8937
antes,41327,11581
antes,42708,11701
antes,4637,24
antes,4809,19280
antes,4826,11557
antes,48858,2858
antes,49673,8952
antes,50629,23324
antes,50673,1198
antes,5511,21348
antes,58057,1600
antes,6762,909
antes,6939,56706
antes,7473,3845
antes,9049,6
antes,9304,130
depois,1103,11561
depois,1273,31318
depois,12741,41
depois,1299,119782
depois,13030,2507
depois,141011,41
depois,174,68531
depois,20485,104
depois,210633,82
depois,2119,383
depois,24724,11683
depois,24961,11683
depois,25091,123
depois,30781,11728
depois,31025,11563
depois,31133,162
depois,31500,92
depois,3216,28
depois,3356,106061
depois,3491,13790
depois,37662,1387
depois,38001,11848
depois,41327,11563
depois,42708,11684
depois,4637,2898
depois,4809,14452
depois,4826,11538
depois,48858,56
depois,49673,11861
depois,50629,23288
depois,50673,3101
depois,5511,27350
depois,58057,1200
depois,60068,5876
depois,6762,1478
depois,6939,55583
depois,7473,7695
depois,8732,2
depois,9049,4
depois,9304,30
